"MovieName","Rank","Score","CommentNumber","Link","Quote"
"肖申克的救赎",1,"9.7","1837617","https://movie.douban.com/subject/1292052/","希望让人自由。"
"霸王别姬",2,"9.6","1351670","https://movie.douban.com/subject/1291546/","风华绝代。"
"阿甘正传",3,"9.5","1405913","https://movie.douban.com/subject/1292720/","一部美国近现代史。"
"这个杀手不太冷",4,"9.4","1600017","https://movie.douban.com/subject/1295644/","怪蜀黍和小萝莉不得不说的故事。"
"美丽人生",5,"9.5","896389","https://movie.douban.com/subject/1292063/","最美的谎言。"
"泰坦尼克号",6,"9.4","1346717","https://movie.douban.com/subject/1292722/","失去的才是永恒的。 "
"千与千寻",7,"9.3","1438565","https://movie.douban.com/subject/1291561/","最好的宫崎骏，最好的久石让。 "
"辛德勒的名单",8,"9.5","720859","https://movie.douban.com/subject/1295124/","拯救一个人，就是拯救整个世界。"
"盗梦空间",9,"9.3","1361095","https://movie.douban.com/subject/3541415/","诺兰给了我们一场无法盗取的梦。"
"忠犬八公的故事",10,"9.4","929814","https://movie.douban.com/subject/3011091/","永远都不能忘记你所爱的人。"
"海上钢琴师",11,"9.3","1127260","https://movie.douban.com/subject/1292001/","每个人都要走一条自己坚定了的路，就算是粉身碎骨。 "
"机器人总动员",12,"9.3","899213","https://movie.douban.com/subject/2131459/","小瓦力，大人生。"
"三傻大闹宝莱坞",13,"9.2","1245236","https://movie.douban.com/subject/3793023/","英俊版憨豆，高情商版谢耳朵。"
"楚门的世界",14,"9.3","986684","https://movie.douban.com/subject/1292064/","如果再也不能见到你，祝你早安，午安，晚安。"
"放牛班的春天",15,"9.3","868588","https://movie.douban.com/subject/1291549/","天籁一般的童声，是最接近上帝的存在。 "
"星际穿越",16,"9.3","999786","https://movie.douban.com/subject/1889243/","爱是一种力量，让我们超越时空感知它的存在。"
"大话西游之大圣娶亲",17,"9.2","976904","https://movie.douban.com/subject/1292213/","一生所爱。"
"熔炉",18,"9.3","594513","https://movie.douban.com/subject/5912992/","我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
"龙猫",19,"9.2","839462","https://movie.douban.com/subject/1291560/","人人心中都有个龙猫，童年就永远不会消失。"
"无间道",20,"9.2","799530","https://movie.douban.com/subject/1307914/","香港电影史上永不过时的杰作。"
"疯狂动物城",21,"9.2","1151790","https://movie.douban.com/subject/25662329/","迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。"
"教父",22,"9.3","616238","https://movie.douban.com/subject/1291841/","千万不要记恨你的对手，这样会让你失去理智。"
"当幸福来敲门",23,"9.1","1002427","https://movie.douban.com/subject/1849031/","平民励志片。 "
"怦然心动",24,"9.1","1147091","https://movie.douban.com/subject/3319755/","真正的幸福是来自内心深处。"
"触不可及",25,"9.2","655768","https://movie.douban.com/subject/6786002/","满满温情的高雅喜剧。"
"蝙蝠侠：黑暗骑士",26,"9.2","672681","https://movie.douban.com/subject/1851857/","无尽的黑暗。"
"活着",27,"9.2","519432","https://movie.douban.com/subject/1292365/","张艺谋最好的电影。"
"控方证人",28,"9.6","248223","https://movie.douban.com/subject/1296141/","比利·怀德满分作品。"
"乱世佳人",29,"9.3","446976","https://movie.douban.com/subject/1300267/","Tomorrow is another day."
