"MovieName","Rank","Score","CommentNumber","Link","Quote"
"大闹天宫",57,"9.3","238965","https://movie.douban.com/subject/1418019/","经典之作，历久弥新。"
"我不是药神",58,"9.0","1377884","https://movie.douban.com/subject/26752088/","对我们国家而言，这样的电影多一部是一部。"
"饮食男女",59,"9.1","369027","https://movie.douban.com/subject/1291818/","人生不能像做菜，把所有的料都准备好了才下锅。"
"美丽心灵",60,"9.0","501896","https://movie.douban.com/subject/1306029/","爱是一切逻辑和原由。"
"V字仇杀队",61,"8.9","714662","https://movie.douban.com/subject/1309046/","一张面具背后的理想与革命。"
"黑客帝国",62,"9.0","509043","https://movie.douban.com/subject/1291843/","视觉革命。"
"钢琴家",63,"9.1","335276","https://movie.douban.com/subject/1296736/","音乐能化解仇恨。"
"本杰明·巴顿奇事",64,"8.9","658592","https://movie.douban.com/subject/1485260/","在时间之河里感受溺水之苦。"
"猫鼠游戏",65,"9.0","502829","https://movie.douban.com/subject/1305487/","骗子大师和执著警探的你追我跑故事。 "
"海豚湾",66,"9.3","270336","https://movie.douban.com/subject/3442220/","海豚的微笑，是世界上最高明的伪装。"
"让子弹飞",67,"8.8","1071270","https://movie.douban.com/subject/3742360/","你给我翻译翻译，神马叫做TMD的惊喜。"
"看不见的客人",68,"8.8","755448","https://movie.douban.com/subject/26580232/","你以为你以为的就是你以为的。"
"情书",69,"8.9","608197","https://movie.douban.com/subject/1292220/","暗恋的极致。"
"西西里的美丽传说",70,"8.9","640499","https://movie.douban.com/subject/1292402/","美丽无罪。"
"拯救大兵瑞恩",71,"9.0","423969","https://movie.douban.com/subject/1292849/","美利坚精神输出大片No1."
"小鞋子",72,"9.2","258097","https://movie.douban.com/subject/1303021/","奔跑的孩子是天使。"
"美国往事",73,"9.2","281233","https://movie.douban.com/subject/1292262/","往事如烟，无处祭奠。"
"音乐之声",74,"9.0","391319","https://movie.douban.com/subject/1294408/","用音乐化解仇恨，让歌声串起美好。"
"穿条纹睡衣的男孩",75,"9.1","315932","https://movie.douban.com/subject/3008247/","尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。"
"致命魔术",76,"8.9","563125","https://movie.douban.com/subject/1780330/","孪生蝙蝠侠大战克隆金刚狼。"
"七宗罪",77,"8.8","660328","https://movie.douban.com/subject/1292223/","警察抓小偷，老鼠玩死猫。"
"低俗小说",78,"8.8","561551","https://movie.douban.com/subject/1291832/","故事的高级讲法。"
"被嫌弃的松子的一生",79,"8.9","501770","https://movie.douban.com/subject/1787291/","以戏谑来戏谑戏谑。"
"沉默的羔羊",80,"8.8","558225","https://movie.douban.com/subject/1293544/","安东尼·霍普金斯的顶级表演。"
"蝴蝶效应",81,"8.8","618660","https://movie.douban.com/subject/1292343/","人的命运被自己瞬间的抉择改变。"
"春光乍泄",82,"8.9","415809","https://movie.douban.com/subject/1292679/","爱情纠缠，男女一致。"
"心灵捕手",83,"8.9","459895","https://movie.douban.com/subject/1292656/","人生中应该拥有这样的一段豁然开朗。"
"禁闭岛",84,"8.8","615223","https://movie.douban.com/subject/2334904/","昔日翩翩少年，今日大腹便便。"
"布达佩斯大饭店",85,"8.8","579889","https://movie.douban.com/subject/11525673/","小清新的故事里注入了大历史的情怀。"
"勇敢的心",86,"8.9","423327","https://movie.douban.com/subject/1294639/","史诗大片的典范。"
"剪刀手爱德华",87,"8.7","753271","https://movie.douban.com/subject/1292370/","浪漫忧郁的成人童话。"
"阿凡达",88,"8.7","890983","https://movie.douban.com/subject/1652587/","绝对意义上的美轮美奂。"
"天使爱美丽",89,"8.7","725622","https://movie.douban.com/subject/1292215/","法式小清新。 "
"绿皮书",90,"8.9","957860","https://movie.douban.com/subject/27060077/","去除成见，需要勇气。"
"摩登时代",91,"9.3","179851","https://movie.douban.com/subject/1294371/","大时代中的人生，小人物的悲喜。"
"海蒂和爷爷",92,"9.2","208061","https://movie.douban.com/subject/25958717/","如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。"
"加勒比海盗",93,"8.7","588637","https://movie.douban.com/subject/1298070/","约翰尼·德普的独角戏。"
"致命ID",94,"8.8","515874","https://movie.douban.com/subject/1297192/","最不可能的那个人永远是最可能的。"
"喜剧之王",95,"8.7","606364","https://movie.douban.com/subject/1302425/","我是一个演员。"
"断背山",96,"8.8","501675","https://movie.douban.com/subject/1418834/","每个人心中都有一座断背山。"
"幽灵公主",97,"8.9","368790","https://movie.douban.com/subject/1297359/","人与自然的战争史诗。"
"入殓师",98,"8.8","431313","https://movie.douban.com/subject/2149806/","死可能是一道门，逝去并不是终结，而是超越，走向下一程。"
"狩猎",99,"9.1","226242","https://movie.douban.com/subject/6985810/","人言可畏。"
"阳光灿烂的日子",100,"8.8","423372","https://movie.douban.com/subject/1291875/","一场华丽的意淫。"
"杀人回忆",101,"8.8","415380","https://movie.douban.com/subject/1300299/","关于连环杀人悬案的集体回忆。"
"重庆森林",102,"8.7","530619","https://movie.douban.com/subject/1291999/","寂寞没有期限。"
"第六感",103,"8.9","363893","https://movie.douban.com/subject/1297630/","深入内心的恐怖，出人意料的结局。"
"请以你的名字呼唤我",104,"8.9","394517","https://movie.douban.com/subject/26799731/","沉醉在电影的情感和视听氛围中无法自拔。"
"小森林 夏秋篇",105,"9.0","267089","https://movie.douban.com/subject/25814705/","那些静得只能听见呼吸的日子里，你明白孤独即生活。"
"消失的爱人",106,"8.7","596913","https://movie.douban.com/subject/21318488/","年度最佳date movie。"
"玛丽和马克思",107,"8.9","314871","https://movie.douban.com/subject/3072124/","你是我最好的朋友，你是我唯一的朋友 。"
"哈利·波特与死亡圣器(下)",108,"8.8","478849","https://movie.douban.com/subject/3011235/","10年的完美句点。"
"7号房的礼物",109,"8.9","329727","https://movie.douban.com/subject/10777687/","《我是山姆》的《美丽人生》。"
"红辣椒",110,"9.0","249913","https://movie.douban.com/subject/1865703/","梦的勾结。"
"爱在黎明破晓前",111,"8.8","381199","https://movie.douban.com/subject/1296339/","缘分是个连绵词，最美不过一瞬。"
"告白",112,"8.7","511472","https://movie.douban.com/subject/4268598/","没有一人完全善，也没有一人完全恶。"
"一一",113,"9.0","233833","https://movie.douban.com/subject/1292434/","我们都曾经是一一。"
"侧耳倾听",114,"8.9","296170","https://movie.douban.com/subject/1297052/","少女情怀总是诗。"
"大鱼",115,"8.8","390689","https://movie.douban.com/subject/1291545/","抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。"
"阳光姐妹淘",116,"8.8","425077","https://movie.douban.com/subject/4917726/","再多各自牛逼的时光，也比不上一起傻逼的岁月。 "
"小森林 冬春篇",117,"9.0","234128","https://movie.douban.com/subject/25814707/","尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。"
"射雕英雄传之东成西就",118,"8.7","433457","https://movie.douban.com/subject/1316510/","百看不厌。 "
"蝙蝠侠：黑暗骑士崛起",119,"8.7","475952","https://movie.douban.com/subject/3395373/","诺兰就是保证。"
"超脱",120,"8.9","299024","https://movie.douban.com/subject/5322596/","穷尽一生，我们要学会的，不过是彼此拥抱。"
"甜蜜蜜",121,"8.8","342693","https://movie.douban.com/subject/1305164/","相逢只要一瞬间，等待却像是一辈子。"
"倩女幽魂",122,"8.7","463498","https://movie.douban.com/subject/1297447/","两张绝世的脸。 "
"唐伯虎点秋香",123,"8.6","651337","https://movie.douban.com/subject/1306249/","华太师是黄霑，吴镇宇四大才子之一。"
"驯龙高手",124,"8.7","502421","https://movie.douban.com/subject/2353023/","和谐的生活离不开摸头与被摸头。"
"菊次郎的夏天",125,"8.8","332535","https://movie.douban.com/subject/1293359/","从没见过那么流氓的温柔，从没见过那么温柔的流氓。"
"萤火之森",126,"8.8","312963","https://movie.douban.com/subject/5989818/","触不到的恋人。"
"恐怖直播",127,"8.8","407772","https://movie.douban.com/subject/21360417/","恐怖分子的“秋菊打官司”。"
"爱在日落黄昏时",128,"8.8","327926","https://movie.douban.com/subject/1291990/","九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。"
"幸福终点站",129,"8.8","354069","https://movie.douban.com/subject/1292274/","有时候幸福需要等一等。 "
"超能陆战队",130,"8.7","647469","https://movie.douban.com/subject/11026735/","Balalala~~~"
"无人知晓",131,"9.1","167459","https://movie.douban.com/subject/1292337/","我的平常生活就是他人的幸福。"
"借东西的小人阿莉埃蒂",132,"8.8","351505","https://movie.douban.com/subject/4202302/","曾经的那段美好会沉淀为一辈子的记忆。"
"神偷奶爸",133,"8.6","651469","https://movie.douban.com/subject/3287562/","Mr. I Don&#39;t Care其实也有Care的时候。"
"风之谷",134,"8.9","266258","https://movie.douban.com/subject/1291585/","动画片的圣经。"
"怪兽电力公司",135,"8.7","419714","https://movie.douban.com/subject/1291579/","不要给它起名字，起了名字就有感情了。"
"玩具总动员3",136,"8.8","326002","https://movie.douban.com/subject/1858711/","跨度十五年的欢乐与泪水。"
"上帝之城",137,"8.9","218088","https://movie.douban.com/subject/1292208/","被上帝抛弃了的上帝之城。"
"血战钢锯岭",138,"8.7","539621","https://movie.douban.com/subject/26325320/","优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。"
"完美的世界",139,"9.1","154515","https://movie.douban.com/subject/1300992/","坏人的好总是比好人的好来得更感人。"
"电锯惊魂",140,"8.7","330727","https://movie.douban.com/subject/1417598/","真相就在眼前。"
"傲慢与偏见",141,"8.6","494017","https://movie.douban.com/subject/1418200/","爱是摈弃傲慢与偏见之后的曙光。"
"时空恋旅人",142,"8.7","355194","https://movie.douban.com/subject/10577869/","把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。"
"喜宴",143,"8.9","223624","https://movie.douban.com/subject/1303037/","中国家庭的喜怒哀乐忍。"
"岁月神偷",144,"8.7","431824","https://movie.douban.com/subject/3792799/","岁月流逝，来日可追。"
"谍影重重3",145,"8.8","288113","https://movie.douban.com/subject/1578507/","像吃了苏打饼一样干脆的电影。"
"七武士",146,"9.2","124385","https://movie.douban.com/subject/1295399/","时代悲歌。"
"英雄本色",147,"8.7","324055","https://movie.douban.com/subject/1297574/","英雄泪短，兄弟情长。 "
"教父3",148,"8.9","224754","https://movie.douban.com/subject/1294240/","任何信念的力量，都无法改变命运。"
"疯狂原始人",149,"8.7","580587","https://movie.douban.com/subject/1907966/","老少皆宜，这就是好莱坞动画的魅力。"
"被解救的姜戈",150,"8.7","408097","https://movie.douban.com/subject/6307447/","热血沸腾，那个低俗、性感的无耻混蛋又来了。"
"真爱至上",151,"8.6","490806","https://movie.douban.com/subject/1292401/","爱，是个动词。"
"萤火虫之墓",152,"8.7","301409","https://movie.douban.com/subject/1293318/","幸福是生生不息，却难以触及的远。 "
"三块广告牌",153,"8.7","565606","https://movie.douban.com/subject/26611804/","怼天怼地，你走后，她与世界为敌。"
"心迷宫",154,"8.7","319644","https://movie.douban.com/subject/25917973/","荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。"
"爆裂鼓手",155,"8.7","367975","https://movie.douban.com/subject/25773932/","这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。"
"纵横四海",156,"8.8","263165","https://movie.douban.com/subject/1295409/","香港浪漫主义警匪动作片的巅峰之作。"
"哪吒闹海",157,"9.0","157575","https://movie.douban.com/subject/1307315/","想你时你在闹海。"
"东邪西毒",158,"8.6","406102","https://movie.douban.com/subject/1292328/","电影诗。"
"达拉斯买家俱乐部",159,"8.8","301272","https://movie.douban.com/subject/1793929/","Jared Leto的腿比女人还美！"
"记忆碎片",160,"8.6","413749","https://movie.douban.com/subject/1304447/","一个针管引发的血案。"
"贫民窟的百万富翁",161,"8.6","538573","https://movie.douban.com/subject/2209573/","上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁"
"我是山姆",162,"8.9","190315","https://movie.douban.com/subject/1306861/","爱并不需要智商 。"
"功夫",163,"8.5","586632","https://movie.douban.com/subject/1291543/","警恶惩奸，维护世界和平这个任务就交给你了，好吗？"
"荒蛮故事",164,"8.8","267171","https://movie.douban.com/subject/24750126/","始于荒诞，止于更荒诞。"
"黑天鹅",165,"8.6","601832","https://movie.douban.com/subject/1978709/","黑暗之美。"
"天书奇谭",166,"9.2","122692","https://movie.douban.com/subject/1428581/","传奇的年代，醉人的童话。"
"头号玩家",167,"8.7","944913","https://movie.douban.com/subject/4920389/","写给影迷，动漫迷和游戏迷的一封情书。"
"花样年华",168,"8.6","377209","https://movie.douban.com/subject/1291557/","偷情本没有这样美。"
"你的名字。",169,"8.4","894254","https://movie.douban.com/subject/26683290/","穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。"
"卢旺达饭店",170,"8.9","187243","https://movie.douban.com/subject/1291822/","当这个世界闭上双眼，他却敞开了怀抱。"
"雨人",171,"8.7","292656","https://movie.douban.com/subject/1291870/","生活在自己的世界里，也可以让周围的人显得可笑和渺小。"
"头脑特工队",172,"8.7","387109","https://movie.douban.com/subject/10533913/","愿我们都不用长大，每一座城堡都能永远存在。"
"忠犬八公物语",173,"9.1","117915","https://movie.douban.com/subject/1959195/","养狗三日，便会对你终其一生。"
"一个叫欧维的男人决定去死",174,"8.8","233888","https://movie.douban.com/subject/26628357/","惠及一生的美丽。"
"模仿游戏",175,"8.7","401115","https://movie.douban.com/subject/10463953/","他给机器起名“克里斯托弗”，因为这是他初恋的名字。"
"你看起来好像很好吃",176,"8.9","228589","https://movie.douban.com/subject/4848115/","感情不分食草或者食肉。"
"黑客帝国3：矩阵革命",177,"8.7","269576","https://movie.douban.com/subject/1302467/","不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。"
"无敌破坏王",178,"8.7","351423","https://movie.douban.com/subject/6534248/","迪士尼和皮克斯拿错剧本的产物。"
"人生果实",179,"9.5","70131","https://movie.douban.com/subject/26874505/","土壤没有落叶不会肥沃，没有了你就不算人生。"
"未麻的部屋",180,"8.9","171753","https://movie.douban.com/subject/1395091/","好的剧本是，就算你猜到了结局也猜不到全部。"
"釜山行",181,"8.5","703738","https://movie.douban.com/subject/25986180/","揭露人性的丧尸题材力作。"
"恋恋笔记本",182,"8.5","435424","https://movie.douban.com/subject/1309163/","爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 "
"冰川时代",183,"8.5","425481","https://movie.douban.com/subject/1291578/","松鼠才是角儿。"
"海边的曼彻斯特",184,"8.6","330226","https://movie.douban.com/subject/25980443/","我们都有权利不与自己的过去和解。"
"二十二",185,"8.7","197159","https://movie.douban.com/subject/26430107/","有一些东西不应该被遗忘。"
"虎口脱险",186,"8.9","157480","https://movie.douban.com/subject/1296909/","永远看不腻的喜剧。"
"海街日记",187,"8.7","251818","https://movie.douban.com/subject/25895901/","是枝裕和的家庭习作。"
"雨中曲",188,"9.0","138766","https://movie.douban.com/subject/1293460/","骨灰级歌舞片。"
"房间",189,"8.8","262303","https://movie.douban.com/subject/25724855/","被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。"
"恐怖游轮",190,"8.4","522204","https://movie.douban.com/subject/3011051/","不要企图在重复中寻找已经失去的爱。"
"人工智能",191,"8.6","291153","https://movie.douban.com/subject/1302827/","对爱的执着，可以超越一切。"
"魔女宅急便",192,"8.6","312164","https://movie.douban.com/subject/1307811/","宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。"
"哈利·波特与阿兹卡班的囚徒",193,"8.6","338432","https://movie.douban.com/subject/1291544/","不一样的导演，不一样的哈利·波特。"
"惊魂记",194,"8.9","149258","https://movie.douban.com/subject/1293181/","故事的反转与反转，分裂电影的始祖。"
"海洋",195,"9.1","124223","https://movie.douban.com/subject/3443389/","大海啊，不全是水。"
"新世界",196,"8.8","198904","https://movie.douban.com/subject/10437779/","要做就做得狠一点，这样才能活下去。"
"罗生门",197,"8.8","201919","https://movie.douban.com/subject/1291879/","人生的N种可能性。"
"燃情岁月",198,"8.8","203124","https://movie.douban.com/subject/1295865/","传奇，不是每个人都可以拥有。"
"疯狂的石头",199,"8.4","526961","https://movie.douban.com/subject/1862151/","中国版《两杆大烟枪》。"
"奇迹男孩",200,"8.6","379367","https://movie.douban.com/subject/26787574/","世界不完美，爱会有奇迹。"
"穿越时空的少女",201,"8.6","278035","https://movie.douban.com/subject/1937946/","爱上未来的你。 "
"哈利·波特与密室",202,"8.5","357049","https://movie.douban.com/subject/1296996/","魔法的密室之门已打开..."
"魂断蓝桥",203,"8.8","183911","https://movie.douban.com/subject/1293964/","中国式内在的美国电影。"
"终结者2：审判日",204,"8.7","233356","https://movie.douban.com/subject/1291844/","少见的超越首部的续集，动作片中的经典。"
"爱在午夜降临前",205,"8.8","200159","https://movie.douban.com/subject/10808442/","所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。"
"初恋这件小事",206,"8.4","711916","https://movie.douban.com/subject/4739952/","黑小鸭速效美白记。"
"可可西里",207,"8.8","193975","https://movie.douban.com/subject/1308857/","坚硬的信仰。"
"完美陌生人",208,"8.5","375067","https://movie.douban.com/subject/26614893/","来啊，互相伤害啊！"
"2001太空漫游",209,"8.8","182509","https://movie.douban.com/subject/1292226/","现代科幻电影的开山之作，最伟大导演的最伟大影片。"
"牯岭街少年杀人事件",210,"8.8","169761","https://movie.douban.com/subject/1292329/","弱者送给弱者的一刀。"
"阿飞正传",211,"8.5","331810","https://movie.douban.com/subject/1305690/","王家卫是一种风格，张国荣是一个代表。"
